savivaldybe_1,savivaldybe_2,mokslo_metai,mokyt_simil,mok_simil,ne_1_mok_simil,avg_simil,mokytoju_skaicius,ekspertu_skaicius,ekspertu_skaicius_proc,mokiniu_skaicius,mokiniu_mokytojui_sk,mokytoju_skaicius_ne_vienoje_mokykloje,mokytoju_skaicius_ne_vienoje_mokykloje_proc,moko_daugiau_nei_1_dalyko_proc,moko_daugiau_nei_1_dalyko,pensijinio_amziaus_proc,pensijinio_amziaus,stazas_iki_2_metu_proc
Akmenės r. sav.,Druskininkų sav.,2015-2016,0.0944,0.2157,0.3929,0.2343,233,100,0.429184549356,2865.0,12.296137339055,17.0,7.296137339055,67.381974248927,157,0.07296137339,17,0.01287553648
Akmenės r. sav.,Joniškio r. sav.,2015-2016,0.0934,0.0545,0.5143,0.2207,233,100,0.429184549356,2865.0,12.296137339055,17.0,7.296137339055,67.381974248927,157,0.07296137339,17,0.01287553648
Akmenės r. sav.,Lazdijų r. sav.,2015-2016,0.0827,0.1815,0.7424,0.3355,233,100,0.429184549356,2865.0,12.296137339055,17.0,7.296137339055,67.381974248927,157,0.07296137339,17,0.01287553648
Akmenės r. sav.,Pakruojo r. sav.,2015-2016,0.0827,0.1504,0.5526,0.2619,233,100,0.429184549356,2865.0,12.296137339055,17.0,7.296137339055,67.381974248927,157,0.07296137339,17,0.01287553648
Akmenės r. sav.,Kupiškio r. sav.,2015-2016,0.0451,0.2408,0.575,0.287,233,100,0.429184549356,2865.0,12.296137339055,17.0,7.296137339055,67.381974248927,157,0.07296137339,17,0.01287553648
Akmenės r. sav.,Molėtų r. sav.,2015-2016,0.0944,0.3271,0.32,0.2472,233,100,0.429184549356,2865.0,12.296137339055,17.0,7.296137339055,67.381974248927,157,0.07296137339,17,0.01287553648
Akmenės r. sav.,Skuodo r. sav.,2015-2016,0.0386,0.2614,0.3462,0.2154,233,100,0.429184549356,2865.0,12.296137339055,17.0,7.296137339055,67.381974248927,157,0.07296137339,17,0.01287553648
Akmenės r. sav.,Alytaus r. sav.,2015-2016,0.0863,0.3637,0.6964,0.3821,233,100,0.429184549356,2865.0,12.296137339055,17.0,7.296137339055,67.381974248927,157,0.07296137339,17,0.01287553648
Anykščių r. sav.,Elektrėnų sav.,2015-2016,0.0075,0.1025,0.6102,0.2401,263,117,0.444866920152,2496.0,9.490494296577,59.0,22.433460076045,59.315589353612,156,0.064638783269,17,0.121673003802
Anykščių r. sav.,Joniškio r. sav.,2015-2016,0.0228,0.0786,0.4068,0.1694,263,117,0.444866920152,2496.0,9.490494296577,59.0,22.433460076045,59.315589353612,156,0.064638783269,17,0.121673003802
Anykščių r. sav.,Lazdijų r. sav.,2015-2016,0.0342,0.0605,0.1061,0.0669,263,117,0.444866920152,2496.0,9.490494296577,59.0,22.433460076045,59.315589353612,156,0.064638783269,17,0.121673003802
Anykščių r. sav.,Pakruojo r. sav.,2015-2016,0.0342,0.0248,0.3559,0.1383,263,117,0.444866920152,2496.0,9.490494296577,59.0,22.433460076045,59.315589353612,156,0.064638783269,17,0.121673003802
Anykščių r. sav.,Švenčionių r. sav.,2015-2016,0.0641,0.0907,0.3559,0.1702,263,117,0.444866920152,2496.0,9.490494296577,59.0,22.433460076045,59.315589353612,156,0.064638783269,17,0.121673003802
Anykščių r. sav.,Varėnos r. sav.,2015-2016,0.0674,0.0685,0.2034,0.1131,263,117,0.444866920152,2496.0,9.490494296577,59.0,22.433460076045,59.315589353612,156,0.064638783269,17,0.121673003802
Anykščių r. sav.,Kupiškio r. sav.,2015-2016,0.0722,0.1286,0.322,0.1743,263,117,0.444866920152,2496.0,9.490494296577,59.0,22.433460076045,59.315589353612,156,0.064638783269,17,0.121673003802
Anykščių r. sav.,Alytaus r. sav.,2015-2016,0.0304,0.2696,0.0508,0.1169,263,117,0.444866920152,2496.0,9.490494296577,59.0,22.433460076045,59.315589353612,156,0.064638783269,17,0.121673003802
Biržų r. sav.,Jurbarko r. sav.,2015-2016,0.0833,0.1758,0.0323,0.0971,319,98,0.307210031347,2845.0,8.918495297805,60.0,18.808777429467,53.918495297805,172,0.037617554858,12,0.062695924764
Biržų r. sav.,Kaišiadorių r. sav.,2015-2016,0.059,0.2779,0.1,0.1456,319,98,0.307210031347,2845.0,8.918495297805,60.0,18.808777429467,53.918495297805,172,0.037617554858,12,0.062695924764
Biržų r. sav.,Pasvalio r. sav.,2015-2016,0.0376,0.0911,0.3833,0.1707,319,98,0.307210031347,2845.0,8.918495297805,60.0,18.808777429467,53.918495297805,172,0.037617554858,12,0.062695924764
Biržų r. sav.,Prienų r. sav.,2015-2016,0.0564,0.0203,0.2333,0.1033,319,98,0.307210031347,2845.0,8.918495297805,60.0,18.808777429467,53.918495297805,172,0.037617554858,12,0.062695924764
Biržų r. sav.,Šilalės r. sav.,2015-2016,0.0,0.1768,0.05,0.0756,319,98,0.307210031347,2845.0,8.918495297805,60.0,18.808777429467,53.918495297805,172,0.037617554858,12,0.062695924764
Druskininkų sav.,Akmenės r. sav.,2015-2016,0.0944,0.2157,0.3929,0.2343,211,59,0.27962085308,2247.0,10.649289099526,28.0,13.270142180094,53.080568720379,112,0.052132701421,11,0.037914691943
Druskininkų sav.,Molėtų r. sav.,2015-2016,0.0,0.142,0.1071,0.083,211,59,0.27962085308,2247.0,10.649289099526,28.0,13.270142180094,53.080568720379,112,0.052132701421,11,0.037914691943
Druskininkų sav.,Skuodo r. sav.,2015-2016,0.058,0.0583,0.0714,0.0626,211,59,0.27962085308,2247.0,10.649289099526,28.0,13.270142180094,53.080568720379,112,0.052132701421,11,0.037914691943
Druskininkų sav.,Širvintų r. sav.,2015-2016,0.0427,0.2038,0.2222,0.1562,211,59,0.27962085308,2247.0,10.649289099526,28.0,13.270142180094,53.080568720379,112,0.052132701421,11,0.037914691943
Druskininkų sav.,Visagino sav.,2015-2016,0.0521,0.1429,0.6071,0.2674,211,59,0.27962085308,2247.0,10.649289099526,28.0,13.270142180094,53.080568720379,112,0.052132701421,11,0.037914691943
Elektrėnų sav.,Anykščių r. sav.,2015-2016,0.0075,0.1025,0.6102,0.2401,265,76,0.28679245283,2781.0,10.494339622641,23.0,8.679245283018,58.867924528301,156,0.08679245283,23,0.056603773584
Elektrėnų sav.,Joniškio r. sav.,2015-2016,0.0302,0.0259,0.3429,0.133,265,76,0.28679245283,2781.0,10.494339622641,23.0,8.679245283018,58.867924528301,156,0.08679245283,23,0.056603773584
Elektrėnų sav.,Lazdijų r. sav.,2015-2016,0.0415,0.1568,0.6515,0.2833,265,76,0.28679245283,2781.0,10.494339622641,23.0,8.679245283018,58.867924528301,156,0.08679245283,23,0.056603773584
Elektrėnų sav.,Pakruojo r. sav.,2015-2016,0.0415,0.1248,0.3947,0.187,265,76,0.28679245283,2781.0,10.494339622641,23.0,8.679245283018,58.867924528301,156,0.08679245283,23,0.056603773584
Elektrėnų sav.,Švenčionių r. sav.,2015-2016,0.0569,0.0129,0.3947,0.1548,265,76,0.28679245283,2781.0,10.494339622641,23.0,8.679245283018,58.867924528301,156,0.08679245283,23,0.056603773584
Elektrėnų sav.,Varėnos r. sav.,2015-2016,0.0603,0.164,0.5106,0.245,265,76,0.28679245283,2781.0,10.494339622641,23.0,8.679245283018,58.867924528301,156,0.08679245283,23,0.056603773584
Elektrėnų sav.,Kupiškio r. sav.,2015-2016,0.0792,0.2179,0.425,0.2407,265,76,0.28679245283,2781.0,10.494339622641,23.0,8.679245283018,58.867924528301,156,0.08679245283,23,0.056603773584
Elektrėnų sav.,Alytaus r. sav.,2015-2016,0.0377,0.3445,0.5893,0.3238,265,76,0.28679245283,2781.0,10.494339622641,23.0,8.679245283018,58.867924528301,156,0.08679245283,23,0.056603773584
Jonavos r. sav.,Kretingos r. sav.,2015-2016,0.0915,0.0932,0.0588,0.0812,470,210,0.446808510638,5568.0,11.846808510638,68.0,14.468085106383,62.553191489361,294,0.055319148936,26,0.048936170212
Jonavos r. sav.,Plungės r. sav.,2015-2016,0.0723,0.1918,0.1912,0.1518,470,210,0.446808510638,5568.0,11.846808510638,68.0,14.468085106383,62.553191489361,294,0.055319148936,26,0.048936170212
Jonavos r. sav.,Radviliškio r. sav.,2015-2016,0.0188,0.1212,0.1765,0.1055,470,210,0.446808510638,5568.0,11.846808510638,68.0,14.468085106383,62.553191489361,294,0.055319148936,26,0.048936170212
Jonavos r. sav.,Tauragės r. sav.,2015-2016,0.0085,0.0911,0.0423,0.0473,470,210,0.446808510638,5568.0,11.846808510638,68.0,14.468085106383,62.553191489361,294,0.055319148936,26,0.048936170212
Jonavos r. sav.,Telšių r. sav.,2015-2016,0.0675,0.0341,0.2059,0.1025,470,210,0.446808510638,5568.0,11.846808510638,68.0,14.468085106383,62.553191489361,294,0.055319148936,26,0.048936170212
Jonavos r. sav.,Vilkaviškio r. sav.,2015-2016,0.0693,0.0591,0.4188,0.1824,470,210,0.446808510638,5568.0,11.846808510638,68.0,14.468085106383,62.553191489361,294,0.055319148936,26,0.048936170212
